Item Lookup Code,Department,Category,Description,Quantity Sold,Sales,Last Sold,Cost,Cost Sold,Non Sale Movement,Last Received
Grand Summaries,,,,,,,,,,
,,,,"24,119.00","314,789.49","#,#.00","18,743.95","227,923.80","39,563.00","#,#.00"
OG CHILLUM,SMOKE SUPPLIES,,OG CHILLIUM DISPLAY 100PCS,-65,-$48.75,4/30/2025 12:35,$76.00,"-$4,940.00",0,9/8/2021 10:20
PIPETREE,SMOKE SUPPLIES,PIPES,GLASS PIPE DISPLAY 100CT,5,$886.25,4/25/2025 14:01,$140.00,$700.00,0,1/26/2021 11:08
PLASTICKNIFE1000CT,PLASTIC/PAPER GOODS,,PLASTIC KNIFE 1000CT,5,$93.05,5/5/2025 16:26,$16.61,$83.05,0,
RED,PLASTIC/PAPER GOODS,,RED SHOT GLASS,53,$39.37,5/7/2025 18:10,$0.69,$36.57,0,
REDSHOT,LIQUOR SUPPLIES,,RED SHOTGLASS 20PK,5,$6.25,5/9/2025 14:56,$1.00,$5.00,0,
RHINO GOLD PLUS 100000K,,,RHINO GOLD PLUS 100000K,-1,-$55.00,4/14/2025 17:21,$21.00,-$21.00,0,5/31/2018 12:57
RHINO PLATINUM PLUS ,SUPPLEMENTS,,RHINO PLATINUM PLUS 100000K,1,$55.00,4/14/2025 17:02,$21.00,$21.00,0,5/31/2018 12:57
SINGLEBOTTLE,PLASTIC/PAPER GOODS,,SINGLE BOTTLE THANK YOU BAG,9,$77.50,5/10/2025 15:43,$5.02,$45.18,6497,9/19/2023 14:50
TROJAN,MEDS/DAILY CARE,,TROJAN MAGNUM LOOSE 48CT,9,$193.50,5/10/2025 11:00,$16.50,$148.50,0,4/5/2024 13:10
WICKEDBAG,PLASTIC/PAPER GOODS,,WICKED BAG 2000CT,204,"$8,670.00",4/28/2025 16:22,$0.00,$0.00,204,
X000QHIA7X,PLASTIC/PAPER GOODS,,2 1/4 x 50 THERMAL ROLLS 50CT,12,$222.00,4/21/2025 10:19,$13.00,$156.00,0,6/6/2023 15:36
X0040U0Z25,MEDS/DAILY CARE,,ALKA SELTZER 24T 2PK ,4,$50.00,4/10/2025 16:47,$9.99,$39.96,0,
X004B4BFGF,WRAPS/FILTERS/HEMP/CONES,,JOB .99 1 1/4,3,$189.00,5/8/2025 10:27,$56.50,$169.50,0,11/16/2024 13:41
XMB50,SMOKE SUPPLIES,PIPES,XMB50 BBLR 1PK,1,$3.00,4/24/2025 13:14,$1.35,$1.35,0,5/21/2018 16:00
XMB70,SMOKE SUPPLIES,PIPES,XMB -70 SMALL BUBBLER 70G 1CT,2,$8.50,4/8/2025 16:49,$2.00,$4.00,0,
