Department,Category,Item Lookup Code,Description,Price
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR GREEN CRACK 10PK 5KPUF,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR JUICY PEACH 10PK 5KPUF,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR STRAW CREAM 10PK 5KPUF,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR MYSTERY SMASH 10PK 5K,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR PACIFIC COOLER 10PK 5K,82.5
TOBACCO,60CT CIGAR,8.18892E+11,4K'S KINGS STRAWBERRY CHEESECK,12.5
TOBACCO,25CT CIGAR,070137005421,BLACK N MILD CREAM UPRIGHT25CT,26.5
TOBACCO,50CT CIGAR,070137510185,BLACK N MILD ROYALE 10PK 5CT,52.75
TOBACCO,60CT CIGAR,8.18892E+11,GOODTIMES BLACK CHERRY15PK 3CT,10.25
TOBACCO,SMOKE TOBACCO,071737223963,MIDNIGHT SPECIAL MENTHOL 7.8OZ,35.5
TOBACCO,60CT CIGAR,8.12319E+11,GOODTIMES KUSH 15PK 3CT,10.25
TOBACCO,60CT CIGAR,070235501368,PHILLIES BLUNT REG 10PK 5CT,48.5
TOBACCO,SMOKELESS,070195354035,DAYS WORK CHEW TOBACCO 30OZ,94.5
TOBACCO,SMOKE TOBACCO,090600061150,PREMIER MENTHOL TOBACCO 8OZ,35
TOBACCO,SMOKE TOBACCO,071737408063,CAPTAIN BLACK ROYAL POUCH 9OZ,41
TOBACCO,SMOKE TOBACCO,077170469272,TOP REGULAR CAN 6OZ,29.5
TOBACCO,SMOKELESS,035106057078,BEECHNUT ORIGINAL 12CT 3OZ,72.99
TOBACCO,SMOKELESS,042100007725,LEVI GARRETT  12CT 3OZ,72
TOBACCO,SMOKE TOBACCO,047995100940,AMERICAN SPIRIT PERQ BLEND BLK,53.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER 2 APPLES 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER BERRY 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER BLUEBERRY 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER GRAPE 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER PINEAPPLE 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER WATERMELON 10CT,18.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL KESAR PAN 10CT,19.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL LIME LEMON 10CT,19.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL PAN MASALA 10CT,19.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL STRAWBERRY 10CT,19.5
TOBACCO,60CT CIGAR,8.42426E+11,GOODTIMES KASH 15PK 3CT,10.25
TOBACCO,60CT CIGAR,8.18892E+11,GOODTIMES GRAPE CHERRY15PK 3CT,10.25
TOBACCO,60CT CIGAR,8.18892E+11,GOODTIMES PINEAPPLE 15PK 3CT,10.25
TOBACCO,60CT CIGAR,076452304515,JEWEL HAV-A-TAMPA REG 20PK 5CT,86.5
TOBACCO,60CT CIGAR,071610456129,MURIEL CORONELLA 2PK SPEC 50CT,31
TOBACCO,SMOKE TOBACCO,077170462013,TOP SUPEROLL GOLD CAN 3.5OZ,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER MANGO 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER ORANGE 10CT,19.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL PAN APPLE SPLASH 10CT,19.5
TOBACCO,MOIST SNUFF,073100025952,COPENHAGEN STRAIGHT LONGCUT  ,17.75
TOBACCO,SMOKE TOBACCO,077170460354,TOP MENTHOL SUPER ROLL 4.8OZ,29.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER MINT 10CT,19.5
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL PAN RAAS 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER CITRUS W/MINT 10CT,19.5
TOBACCO,SMOKE TOBACCO,077170110860,GAMBLER PIPE TOB TURKISH 16OZ,11.5
TOBACCO,60CT CIGAR,025900287498,SAVE ON 2 SS TRO. FUSION 60CT,31.5
